frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_text
71,62.0,"[52.441929727794815, 581.1945693189954, 387.25184759031265, 856.8744566244101]","[66.14730834960938, 703.6182861328125, 136.2693328857422, 757.7839965820312]","66-F4
126.25"
133,91.0,"[270.3189132947323, 391.09136666463604, 845.0423814289943, 1053.7743090633965]","[405.0008239746094, 782.0824584960938, 534.137451171875, 887.2750854492188]","61-L7
276.02"
134,91.0,"[267.4408341458365, 392.3576966075275, 852.9755485696419, 1064.2709211367749]","[404.9599914550781, 791.2899169921875, 538.0684814453125, 895.042236328125]","61-L7
7602"
141,91.0,"[250.47963602549623, 93.12705320723023, 932.4608821025685, 1140.6224239510125]","[430.3742980957031, 832.04443359375, 565.7960205078125, 940.0579833984375]","61-L7
176.02"
142,91.0,"[247.48621497172667, 245.35451832941612, 925.1822033949124, 1237.346100589444]","[427.9508972167969, 836.5458984375, 570.07470703125, 947.232421875]","61-L7
176.02"
143,91.0,"[250.34954310187555, 262.73262972978563, 929.4082604001535, 1251.1311516615474]","[433.8234558105469, 840.8836669921875, 577.68701171875, 950.2412109375]","61-L2
176.02"
144,91.0,"[248.7857094748723, 268.1685570054713, 927.2615895775599, 1250.5484973726814]","[436.7124938964844, 842.2437744140625, 578.5296630859375, 952.0609130859375]",61HL271602
145,91.0,"[242.6924831542538, 246.29965291910844, 921.2904462569695, 1236.2066288616925]","[430.92572021484375, 844.941650390625, 574.2987670898438, 960.7716064453125]","67-L7
176.02"
146,91.0,"[230.91877068916733, 305.5420613307674, 910.7353073313443, 1253.8430850228876]","[430.57476806640625, 848.9251098632812, 564.1685791015625, 966.9907836914062]","61-L7
7602"
147,91.0,"[213.38047623791545, 321.9232842059281, 891.3250581436832, 1250.154263608034]","[412.23284912109375, 857.5042724609375, 552.8259887695312, 972.3553466796875]","61-L7
176.02"
148,91.0,"[196.49861596113902, 340.7087687089771, 878.8395946931357, 1234.9817364383307]","[400.1348876953125, 860.5226440429688, 534.8014526367188, 979.979736328125]","61-HL
716.02"
279,119.0,"[356.3545491369215, 594.3062831856039, 496.58653761980077, 788.3272861427386]","[377.1578063964844, 660.6315307617188, 428.8327331542969, 700.14892578125]","59-G1
290.43"
280,119.0,"[369.65360615968603, 601.3906971587835, 499.7021903367749, 786.9423431383111]","[386.6320495605469, 663.32666015625, 434.7453918457031, 701.5548706054688]","59-G1
290.43"
281,119.0,"[377.8039123373835, 592.7861219277146, 512.5247674688503, 785.5411020293844]","[395.7243347167969, 666.5198364257812, 443.5804138183594, 703.5732421875]","59-G1
290.43"
282,119.0,"[384.4610317525722, 601.1191501461903, 513.2695639156009, 786.6718798361564]","[399.05157470703125, 667.6210327148438, 448.6932373046875, 703.2526245117188]","59-G1
290.43"
283,119.0,"[392.31015579385746, 597.8771471636308, 522.8978816676668, 787.5541505850667]","[404.9826965332031, 672.92041015625, 453.2156066894531, 707.15234375]","59-G1
290.43"
284,119.0,"[396.9951904988618, 600.7989345403382, 526.5263359001767, 789.8806885970389]","[410.7884216308594, 677.9107666015625, 460.0009460449219, 711.4871826171875]","59-G1
290.43"
285,119.0,"[403.21894298646146, 611.4837061569312, 529.5675225617175, 794.0322582006472]","[417.9950866699219, 677.4155883789062, 464.3632507324219, 711.5067138671875]","59-G1
290.43"
288,129.0,"[404.65228191481765, 603.0232248005402, 541.745762167662, 789.3267176967822]","[428.382568359375, 679.2925415039062, 475.2542724609375, 710.47998046875]","59-G1
290.43"
288,128.0,"[301.7329999217625, 562.0896362329772, 393.13918024380007, 706.5074411029673]","[302.22589111328125, 614.1016845703125, 342.065673828125, 637.727783203125]","59-EA
088.98"
289,129.0,"[406.5916044283495, 599.6867820485575, 538.0323815487418, 784.9636206650989]","[429.449462890625, 670.5486450195312, 475.95050048828125, 705.07568359375]","59-G1
290.43"
290,129.0,"[408.05362072619965, 591.1462571913136, 538.1525788004985, 777.2366823318606]","[418.7148742675781, 654.48095703125, 474.2518615722656, 692.13818359375]","59-G7
290.43"
324,149.0,"[731.1312608397091, 830.530467881234, 1075.7750894068938, 1585.9982284334083]","[872.3291015625, 1065.3826904296875, 1071.798095703125, 1203.39697265625]","59-V3
305.99"
325,149.0,"[721.1299434207916, 829.0342417457318, 1075.1457323206491, 1575.1529010441996]","[868.2236938476562, 1056.341064453125, 1062.4310302734375, 1187.74853515625]","59-V3
305.99"
326,149.0,"[715.3095190400998, 824.0836949354884, 1076.3123649278482, 1562.5089017246487]","[861.9508666992188, 1045.90771484375, 1047.4537353515625, 1173.82470703125]","59-V3
305.99"
327,149.0,"[713.3669651526013, 817.7436714111523, 1078.4986318104598, 1551.506176609285]","[854.8079223632812, 1043.0902099609375, 1043.440185546875, 1168.3631591796875]","59-V3
305.99"
328,149.0,"[706.0023108376781, 811.8467855890253, 1077.7315355217688, 1540.6589974300473]","[847.9839477539062, 1037.798095703125, 1032.552001953125, 1163.93798828125]","59-V3
305.99"
329,149.0,"[703.3003091054765, 802.7401319227135, 1079.0322140376686, 1528.0688896717504]","[838.8810424804688, 1030.8291015625, 1024.025146484375, 1154.989501953125]","59-V3
305.99"
330,149.0,"[692.3291440067646, 771.8502179093734, 1076.8185613727169, 1506.460293246877]","[836.9886474609375, 1022.5521240234375, 1017.427734375, 1143.703369140625]","59-V3
305.99"
331,149.0,"[685.7287727822214, 747.1769158425909, 1077.1956674603023, 1493.4270876645273]","[822.9212646484375, 1020.41162109375, 1004.6236572265625, 1140.8294677734375]","59-V3
305.99"
332,149.0,"[684.3322835240373, 760.9910317430983, 1079.1943109169729, 1500.1899679191222]","[821.5131225585938, 1027.38134765625, 998.5588989257812, 1145.1990966796875]","59-V3
305.99"
333,149.0,"[682.3441692008995, 763.2384631623286, 1080.1830721516103, 1497.2244881388065]","[815.2981567382812, 1024.5257568359375, 995.5380249023438, 1143.4190673828125]","59-V3
305.99"
334,149.0,"[681.9088019631321, 762.4699626292647, 1081.384488964906, 1492.4650084600287]","[815.4527587890625, 1025.648681640625, 990.3829345703125, 1143.16015625]","59-V3
305.99"
335,149.0,"[682.8347959455506, 780.9957587206593, 1082.659295197714, 1496.8362117864774]","[814.0596313476562, 1029.5919189453125, 989.2294921875, 1144.846923828125]","59-V3
305.99"
336,149.0,"[679.4296287885086, 782.7010152074645, 1081.6823816734036, 1493.0146577515743]","[812.7152709960938, 1030.349609375, 984.8926391601562, 1143.42529296875]","59-V3
305.99"
337,149.0,"[675.2410715309134, 804.31894584674, 1080.5746204084041, 1499.3486772200372]","[804.560302734375, 1038.215087890625, 978.500244140625, 1151.56103515625]","59-V3
305.99"
338,149.0,"[677.2130222033569, 792.6982376798696, 1082.3817668886934, 1489.8386646193112]","[811.3566284179688, 1036.1195068359375, 981.0999755859375, 1148.90966796875]","59-V3
305.99"
339,149.0,"[683.7495156140371, 797.3441660252386, 1085.3454437318162, 1488.1727238716214]","[813.1792602539062, 1040.92626953125, 981.4354248046875, 1152.5308837890625]","59-V3
305.99"
340,149.0,"[685.6745708252354, 827.8482648126784, 1084.6051095197101, 1504.1245404083838]","[817.1394653320312, 1056.41162109375, 980.6156616210938, 1165.23779296875]","59-V3
305.99"
341,149.0,"[689.9159903196091, 857.9044852776825, 1085.248838222508, 1515.9796126662154]","[817.7222900390625, 1066.374267578125, 978.574951171875, 1176.2041015625]","59-V3
305.99"
341,129.0,"[534.8058339768002, 527.3253750410498, 655.7673915389564, 712.5029658989268]","[565.054443359375, 606.2393798828125, 609.3004150390625, 638.60205078125]","59-L7
2943"
342,149.0,"[696.5192696589065, 862.004559182677, 1087.059171352915, 1517.158503597008]","[821.1923217773438, 1080.3892822265625, 981.4923706054688, 1187.277099609375]","59-V3
305.99"
343,149.0,"[704.8816844735383, 866.666120658912, 1088.8732647326453, 1518.5556890596617]","[825.8106079101562, 1084.330322265625, 986.5660400390625, 1190.9810791015625]","59-V3
305.99"
